ID Commune;nb_menages;revenu_median;nb_personnes_Menage_fiscaux;Année
01362;299.0;28910.0;741.1148748159058;2021
01362;283.0;25220.0;790.0;2016
01363;797.0;24660.0;1975.480117820324;2021
01363;751.0;21763.0;1798.0;2016
01364;333.0;22170.0;825.3888070692194;2021
01364;326.0;21334.0;740.0;2016
01365;475.0;24530.0;1177.3564064801178;2021
01365;446.0;21938.0;1149.0;2016
01366;415.0;24930.0;1028.637702503682;2021
01366;370.0;22845.0;1025.0;2016
01367;315.0;22270.0;780.7731958762887;2021
01367;292.0;19913.0;670.0;2016
01368;327.0;23300.0;810.5169366715759;2021
01368;297.0;21813.0;804.0;2016
01369;385.0;27390.0;954.278350515464;2021
01369;368.0;25133.0;933.0;2016
01370;957.0;19550.0;2372.063328424153;2021
01370;893.0;18495.0;1569.0;2016
01371;474.0;25130.0;1174.877761413844;2021
01371;482.0;22867.0;1284.0;2016
01372;175.0;25590.0;433.7628865979382;2021
01372;172.0;21480.0;413.0;2016
01373;442.0;25030.0;1095.561119293078;2021
01373;431.0;22034.0;1059.0;2016
01374;806.0;25490.0;1997.7879234167892;2021
01374;737.0;22995.0;1826.0;2016
01375;328.0;25350.0;812.9955817378498;2021
01375;309.0;21966.0;814.0;2016
01376;1633.0;23570.0;4047.627393225332;2021
01376;1537.0;21120.0;3898.0;2016
